year,month,day
1993,12,28
1994,01,27
1994,02,26
1994,03,27
1994,04,25
1994,05,25
1994,06,23
1994,07,22
1994,08,21
1994,09,19
1994,10,19
1994,11,18
1994,12,18
1995,01,16
1995,02,15
1995,03,17
1995,04,15
1995,05,14
1995,06,13
1995,07,12
1995,08,10
1995,09,09
1995,10,08
1995,11,07
1995,12,07
1996,01,05
1996,02,04
1996,03,05
1996,04,04
1996,05,03
1996,06,01
1996,07,01
1996,07,30
1996,08,28
1996,09,27
1996,10,26
1996,11,25
1996,12,24
1997,01,23
1997,02,22
1997,03,24
1997,04,22
1997,05,22
1997,06,20
1997,07,20
1997,08,18
1997,09,16
1997,10,16
1997,11,14
1997,12,14
1998,01,12
1998,02,11
1998,03,13
1998,04,11
1998,05,11
1998,06,10
1998,07,09
1998,08,08
1998,09,06
1998,10,05
1998,11,04
1998,12,03
1999,01,02
1999,01,31
1999,03,02
1999,03,31
1999,04,30
1999,05,30
1999,06,28
1999,07,28
1999,08,26
1999,09,25
1999,10,24
1999,11,23
1999,12,22
2000,01,21
2000,02,19
2000,03,20
2000,04,18
2000,05,18
2000,06,16
2000,07,16
2000,08,15
2000,09,13
2000,10,13
2000,11,11
2000,12,11
2001,01,09
2001,02,08
2001,03,09
2001,04,08
2001,05,07
2001,06,06
2001,07,05
2001,08,04
2001,09,02
2001,10,02
2001,11,01
2001,11,30
2001,12,30
2002,01,28
2002,02,27
2002,03,28
2002,04,27
2002,05,26
2002,06,24
2002,07,24
2002,08,22
2002,09,21
2002,10,21
2002,11,20
2002,12,19
2003,01,18
2003,02,16
2003,03,18
2003,04,16
2003,05,16
2003,06,14
2003,07,13
2003,08,12
2003,09,10
2003,10,10
2003,11,09
2003,12,08
2004,01,07
2004,02,06
2004,03,06
2004,04,05
2004,05,04
2004,06,03
2004,07,02
2004,07,31
2004,08,30
2004,09,28
2004,10,28
2004,11,26
2004,12,26
2005,01,25
2005,02,24
2005,03,25
2005,04,24
2005,05,23
2005,06,22
2005,07,21
2005,08,19
2005,09,18
2005,10,17
2005,11,16
2005,12,15
2006,01,14
2006,02,13
2006,03,14
2006,04,13
2006,05,13
2006,06,11
2006,07,11
2006,08,09
2006,09,07
2006,10,07
2006,11,05
2006,12,05
2007,01,03
2007,02,02
2007,03,03
2007,04,02
2007,05,02
2007,06,01
2007,06,30
2007,07,30
2007,08,28
2007,09,26
2007,10,26
2007,11,24
2007,12,24
2008,01,22
2008,02,21
2008,03,21
2008,04,20
2008,05,20
2008,06,18
2008,07,18
2008,08,16
2008,09,15
2008,10,14
2008,11,13
2008,12,12
2009,01,11
2009,02,09
2009,03,11
2009,04,09
2009,05,09
2009,06,07
2009,07,07
2009,08,06
2009,09,04
2009,10,04
2009,11,02
2009,12,02
2009,12,31
2010,01,30
2010,02,28
2010,03,30
2010,04,28
2010,05,27
2010,06,26
2010,07,26
2010,08,24
2010,09,23
2010,10,23
2010,11,21
2010,12,21
2011,01,19
2011,02,18
2011,03,19
2011,04,18
2011,05,17
2011,06,15
2011,07,15
2011,08,13
2011,09,12
2011,10,12
2011,11,10
2011,12,10
2012,01,09
2012,02,07
2012,03,08
2012,04,06
2012,05,06
2012,06,04
2012,07,03
2012,08,02
2012,08,31
2012,09,30
2012,10,29
2012,11,28
2012,12,28
2013,01,27
2013,02,25
2013,03,27
2013,04,25
2013,05,25
2013,06,23
2013,07,22
2013,08,21
2013,09,19
2013,10,18
2013,11,17
2013,12,17
2014,01,16
2014,02,14
2014,03,16
2014,04,15
2014,05,14
2014,06,13
2014,07,12
2014,08,10
2014,09,09
2014,10,08
2014,11,06
2014,12,06
2015,01,05
2015,02,03
2015,03,05
2015,04,04
2015,05,04
2015,06,02
2015,07,02
2015,07,31
2015,08,29
2015,09,28
2015,10,27
2015,11,25
2015,12,25
2016,01,24
2016,02,22
2016,03,23
2016,04,22
2016,05,21
2016,06,20
2016,07,19
2016,08,18
2016,09,16
2016,10,16
2016,11,14
2016,12,14
2017,01,12
2017,02,11
2017,03,12
2017,04,11
2017,05,10
2017,06,09
2017,07,09
2017,08,07
2017,09,06
2017,10,05
2017,11,04
2017,12,03
2018,01,02
2018,01,31
2018,03,02
2018,03,31
2018,04,30
2018,05,29
2018,06,28
2018,07,27
2018,08,26
2018,09,25
2018,10,24
2018,11,23
2018,12,22
2019,01,21
2019,02,19
2019,03,21
2019,04,19
2019,05,18
2019,06,17
2019,07,16
2019,08,15
2019,09,14
2019,10,13
2019,11,12
2019,12,12
2020,01,10
2020,02,09
2020,03,09
2020,04,08
2020,05,07
2020,06,05
2020,07,05
2020,08,03
2020,09,02
2020,10,01
2020,10,31
2020,11,30
2020,12,30
2021,01,28
2021,02,27
2021,03,28
2021,04,27
2021,05,26
2021,06,24
2021,07,24
2021,08,22
2021,09,20
2021,10,20
2021,11,19
2021,12,19
2022,01,17
2022,02,16
2022,03,18
2022,04,16
2022,05,16
2022,06,14
2022,07,13
2022,08,12
2022,09,10
2022,10,09
2022,11,08
2022,12,08
2023,01,06
2023,02,05
2023,03,07
2023,04,06
2023,05,05
2023,06,04
2023,07,03
2023,08,01
2023,08,31
2023,09,29
2023,10,28
2023,11,27
2023,12,27
